"citation","doi","filename","variable","word_column","mean_column","sd_column","ss/item","min_score","max_score"
"Francisco Javier Moreno-Martínez, Pedro R. Montoro. (2012). An Ecological Alternative to Snodgrass & Vanderwart: 360 High Quality Colour Images with Norms for Seven Psycholinguistic Variables. PLoS ONE","https://doi.org/10.1371/journal.pone.0037527","Moreno-Martinez2012.csv","familiar","word_spanish","familiar_mean","familiar_sd",,1.32,4.97
"F. Javier Moreno-Martínez, Pedro R. Montoro, Inmaculada C. Rodríguez-Rojo. (2014). Spanish norms for age of acquisition, concept familiarity, lexical frequency, manipulability, typicality, and other variables for 820 words from 14 living/nonliving concepts. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0435-x","Moreno-Martinez2014.csv","aoa_subjective","word_spanish","aoa_subjective_mean","aoa_subjective_sd",,1.47,6.67
"F. Javier Moreno-Martínez, Pedro R. Montoro, Inmaculada C. Rodríguez-Rojo. (2014). Spanish norms for age of acquisition, concept familiarity, lexical frequency, manipulability, typicality, and other variables for 820 words from 14 living/nonliving concepts. Behavior Research Methods","https://doi.org/10.3758/s13428-013-0435-x","Moreno-Martinez2014.csv","familiar","word_spanish","familiar_mean","familiar_sd",,0.45,5
"Lorna I. Morrow, M. Frances Duffy. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods","https://doi.org/10.3758/bf03192731","Morrow2005.csv","aoa_older","word_english","aoa_mean_older","aoa_sd_older",,1.981,7
"Lorna I. Morrow, M. Frances Duffy. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods","https://doi.org/10.3758/bf03192731","Morrow2005.csv","aoa_younger","word_english","aoa_mean_younger","aoa_sd_younger",,1.547,6.826
"Lorna I. Morrow, M. Frances Duffy. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods","https://doi.org/10.3758/bf03192731","Morrow2005.csv","familiar_older","word_english","familiar_mean_older","familiar_sd_older",,1.333,6.925
"Lorna I. Morrow, M. Frances Duffy. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods","https://doi.org/10.3758/bf03192731","Morrow2005.csv","familiar_younger","word_english","familiar_mean_younger","familiar_sd_younger",,2,6.868
"Lorna I. Morrow, M. Frances Duffy. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods","https://doi.org/10.3758/bf03192731","Morrow2005.csv","imagine_older","word_english","imagine_mean_older","imagine_sd_older",,3.344,6.906
"Lorna I. Morrow, M. Frances Duffy. (2005). The representation of ontological category concepts as affected by healthy aging: Normative data and theoretical implications. Behavior Research Methods","https://doi.org/10.3758/bf03192731","Morrow2005.csv","imagine_younger","word_english","imagine_mean_younger","imagine_sd_younger",,2.571,6.906
"Eduardo Navarrete, Giorgio Arcara, Sara Mondini, Barbara Penolazzi. (2019). Italian norms and naming latencies for 357 high quality color images. PLOS ONE","https://doi.org/10.1371/journal.pone.0209524","Navarrete2019.csv","aoa","word_italian","aoa_mean","aoa_sd",,1.42,6.83
"Eduardo Navarrete, Giorgio Arcara, Sara Mondini, Barbara Penolazzi. (2019). Italian norms and naming latencies for 357 high quality color images. PLOS ONE","https://doi.org/10.1371/journal.pone.0209524","Navarrete2019.csv","familiar","word_italian","familiar_mean","familiar_sd",,1.02,4.93
"Douglas L. Nelson, Cathy L. McEvoy, Thomas A. Schreiber. (2004). The University of South Florida free association, rhyme, and word fragment norms. Behavior Research Methods, Instruments, & Computers","https://doi.org/10.3758/bf03195588","Nelson2004.csv","concrete","word_english","concrete_mean",,,1.18,7
"Takehiko Nishimoto, Kaori Miyawaki, Takashi Ueda, Yuko Une, Masaru Takahashi. (2005). Japanese normative set of 359 pictures. Behavior Research Methods","https://doi.org/10.3758/bf03192709","Nishimoto2005.csv","aoa","word_japanese","aoa_mean",,,2.17,6.71
"Takehiko Nishimoto, Kaori Miyawaki, Takashi Ueda, Yuko Une, Masaru Takahashi. (2005). Japanese normative set of 359 pictures. Behavior Research Methods","https://doi.org/10.3758/bf03192709","Nishimoto2005.csv","familiar","word_japanese","familiar_mean",,,2.13,6.66
"Takehiko Nishimoto, Kaori Miyawaki, Takashi Ueda, Yuko Une, Masaru Takahashi. (2005). Japanese normative set of 359 pictures. Behavior Research Methods","https://doi.org/10.3758/bf03192709","Nishimoto2005.csv","imagine","word_japanese","imagine_mean",,,5.56,6.73
"Takehiko Nishimoto, Takashi Ueda, Kaori Miyawaki, Yuko Une, Masaru Takahashi. (2012). The role of imagery-related properties in picture naming: A newly standardized set of 360 pictures for Japanese. Behavior Research Methods","https://doi.org/10.3758/s13428-011-0176-7","Nishimoto2012.csv","aoa","word_japanese_katana","aoa_mean",,,2.17,6.71
"Takehiko Nishimoto, Takashi Ueda, Kaori Miyawaki, Yuko Une, Masaru Takahashi. (2012). The role of imagery-related properties in picture naming: A newly standardized set of 360 pictures for Japanese. Behavior Research Methods","https://doi.org/10.3758/s13428-011-0176-7","Nishimoto2012.csv","familiar","word_japanese_katana","familiar_mean",,,2.13,6.66
"Takehiko Nishimoto, Takashi Ueda, Kaori Miyawaki, Yuko Une, Masaru Takahashi. (2012). The role of imagery-related properties in picture naming: A newly standardized set of 360 pictures for Japanese. Behavior Research Methods","https://doi.org/10.3758/s13428-011-0176-7","Nishimoto2012.csv","imagine","word_japanese_katana","imagine_mean",,,5.56,6.73
